session,AI,driver,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,startpos
F2_19R04MNC_R1,127,LAT,SS,S,S,S,,,,,,,8
F2_19R04MNC_R1,128,SCH,SS,S,S,S,,,,,,,4
F2_19R04MNC_R1,129,RAG,SS,S,S,,,,,,,,20
F2_19R04MNC_R1,130,CAL,S,S,SS,SS,,,,,,,19
F2_19R04MNC_R1,131,COR,S,SS,,,,,,,,,15
F2_19R04MNC_R1,132,AIT,SS,S,SS,,,,,,,,18
F2_19R04MNC_R1,133,GEL,SS,S,S,,,,,,,,6
F2_19R04MNC_R2,134,HUB,S,,,,,,,,,,1
F2_19R04MNC_R2,135,DEL,S,,,,,,,,,,2
F2_19R04MNC_R2,136,ZHO,S,,,,,,,,,,4
F2_19R04MNC_R2,137,MAR,S,,,,,,,,,,3
F2_19R04MNC_R2,138,BOC,S,,,,,,,,,,5
F2_19R04MNC_R2,139,SET,S,,,,,,,,,,6
F2_19R04MNC_R2,140,DEV,S,,,,,,,,,,8
F2_19R04MNC_R2,141,MAZ,S,,,,,,,,,,10
F2_19R04MNC_R2,142,MAT,S,,,,,,,,,,7
F2_19R04MNC_R2,143,LAT,S,,,,,,,,,,12
F2_19R04MNC_R2,144,SCH,S,,,,,,,,,,13
F2_19R04MNC_R2,145,COR,S,,,,,,,,,,16
F2_19R04MNC_R2,146,AIT,S,,,,,,,,,,17
F2_19R04MNC_R2,147,ILO,S,,,,,,,,,,19
F2_19R04MNC_R2,148,GEL,S,S,SS,,,,,,,,18
F2_19R04MNC_R2,149,ALE,S,,,,,,,,,,11
F2_19R04MNC_R2,150,BOS,S,,,,,,,,,,9
F2_19R04MNC_R2,151,RAG,S,,,,,,,,,,15
F2_19R04MNC_R2,152,GHI,S,,,,,,,,,,20
F2_19R04MNC_R2,153,CAL,S,,,,,,,,,,14
F2_19R05CAS_R1,154,DEV,S,S,H,,,,,,,,4
F2_19R05CAS_R1,155,SET,S,S,H,,,,,,,,1
F2_19R05CAS_R1,156,AIT,S,S,H,,,,,,,,3
F2_19R05CAS_R1,157,ZHO,S,S,H,,,,,,,,2
F2_19R05CAS_R1,158,LAT,S,S,H,,,,,,,,6
F2_19R05CAS_R1,159,KIN,H,H,S,,,,,,,,16
F2_19R05CAS_R1,160,COR,H,H,S,,,,,,,,12
F2_19R05CAS_R1,161,HUB,H,H,S,,,,,,,,15
F2_19R05CAS_R1,162,MAT,S,S,H,,,,,,,,7
F2_19R05CAS_R1,163,ALE,H,H,S,,,,,,,,20
F2_19R05CAS_R1,164,CAL,S,S,H,,,,,,,,17
F2_19R05CAS_R1,165,RAG,H,H,S,,,,,,,,18
F2_19R05CAS_R1,166,GHI,H,H,S,,,,,,,,14
F2_19R05CAS_R1,167,ILO,S,S,H,,,,,,,,5
F2_19R05CAS_R1,168,DEL,S,S,H,H,,,,,,,11
F2_19R05CAS_R1,169,BOC,S,S,H,,,,,,,,9
F2_19R05CAS_R2,170,HUB,H,,,,,,,,,,1
F2_19R05CAS_R2,171,COR,H,,,,,,,,,,2
F2_19R05CAS_R2,172,ZHO,H,,,,,,,,,,5
F2_19R05CAS_R2,173,AIT,H,,,,,,,,,,6
F2_19R05CAS_R2,174,SET,H,,,,,,,,,,7
F2_19R05CAS_R2,175,LAT,H,,,,,,,,,,4
F2_19R05CAS_R2,176,DEL,H,,,,,,,,,,14
F2_19R05CAS_R2,177,ILO,H,,,,,,,,,,15
F2_19R05CAS_R2,178,MAT,H,,,,,,,,,,9
F2_19R05CAS_R2,179,DEV,H,,,,,,,,,,8
F2_19R05CAS_R2,180,KIN,H,,,,,,,,,,3
F2_19R05CAS_R2,181,GHI,H,,,,,,,,,,13
F2_19R05CAS_R2,182,BOC,H,,,,,,,,,,16
F2_19R05CAS_R2,183,MAZ,H,,,,,,,,,,19
F2_19R05CAS_R2,184,ALE,H,,,,,,,,,,10
F2_19R05CAS_R2,185,BOS,H,,,,,,,,,,18
F2_19R05CAS_R2,186,GEL,H,,,,,,,,,,20
F2_19R05CAS_R2,187,RAG,H,,,,,,,,,,12
F2_19R05CAS_R2,188,CAL,H,,,,,,,,,,11
F2_19R05CAS_R2,189,SCH,H,,,,,,,,,,17
F2_19R06AUT_R1,190,MAT,SS,S,,,,,,,,,4
F2_19R06AUT_R1,191,GHI,SS,S,,,,,,,,,5
F2_19R06AUT_R1,192,SET,SS,S,,,,,,,,,9
F2_19R06AUT_R1,193,DEV,SS,S,,,,,,,,,1
F2_19R06AUT_R1,194,HUB,SS,S,,,,,,,,,2
F2_19R06AUT_R1,195,DEL,SS,S,,,,,,,,,8
F2_19R06AUT_R1,196,ZHO,SS,S,,,,,,,,,3
F2_19R06AUT_R1,197,KIN,SS,S,,,,,,,,,15
F2_19R06AUT_R1,198,LAT,SS,S,,,,,,,,,6
F2_19R06AUT_R1,199,AIT,SS,S,,,,,,,,,14
F2_19R06AUT_R1,200,COR,SS,S,,,,,,,,,13
F2_19R06AUT_R1,201,MAZ,S,SS,,,,,,,,,12
F2_19R06AUT_R1,202,ALE,SS,S,,,,,,,,,16
F2_19R06AUT_R1,203,ILO,SS,S,,,,,,,,,10
F2_19R06AUT_R1,204,MAI,SS,S,,,,,,,,,18
F2_19R06AUT_R1,205,TVE,SS,S,,,,,,,,,19
F2_19R06AUT_R1,206,GEL,SS,S,,,,,,,,,11
F2_19R06AUT_R1,207,CAL,SS,S,,,,,,,,,20
F2_19R06AUT_R1,208,SCH,S,SS,,,,,,,,,7
F2_19R06AUT_R1,209,OWA,SS,S,,,,,,,,,17
F2_19R06AUT_R2,210,SET,S,,,,,,,,,,4
F2_19R06AUT_R2,211,GHI,S,,,,,,,,,,7
F2_19R06AUT_R2,212,DEV,S,,,,,,,,,,6
F2_19R06AUT_R2,213,SCH,S,,,,,,,,,,18
F2_19R06AUT_R2,214,MAT,S,,,,,,,,,,8
F2_19R06AUT_R2,215,LAT,S,,,,,,,,,,9
F2_19R06AUT_R2,216,KIN,S,,,,,,,,,,1
F2_19R06AUT_R2,217,ZHO,S,,,,,,,,,,3
F2_19R06AUT_R2,218,ILO,S,SS,,,,,,,,,14
F2_19R06AUT_R2,219,COR,S,,,,,,,,,,11
F2_19R06AUT_R2,220,MAZ,S,SS,,,,,,,,,12
F2_19R06AUT_R2,221,GEL,S,,,,,,,,,,16
F2_19R06AUT_R2,222,CAL,S,,,,,,,,,,17
F2_19R06AUT_R2,223,OWA,S,,,,,,,,,,19
F2_19R06AUT_R2,224,MAI,S,,,,,,,,,,20
F2_19R06AUT_R2,225,HUB,S,,,,,,,,,,5
F2_19R06AUT_R2,226,TVE,S,SS,,,,,,,,,15
F2_19R06AUT_R2,227,AIT,S,S,SS,,,,,,,,10
F2_19R06AUT_R2,228,DEL,S,,,,,,,,,,2
F2_19R06AUT_R2,229,ALE,S,,,,,,,,,,13
F2_19R07SIL_R1,230,GHI,S,H,,,,,,,,,2
F2_19R07SIL_R1,231,LAT,S,H,,,,,,,,,4
F2_19R07SIL_R1,232,ZHO,S,H,,,,,,,,,1
F2_19R07SIL_R1,233,SET,S,H,,,,,,,,,3
F2_19R07SIL_R1,234,AIT,S,H,,,,,,,,,8
F2_19R07SIL_R1,235,DEV,S,H,,,,,,,,,7
F2_19R07SIL_R1,236,DEL,S,H,,,,,,,,,5
F2_19R07SIL_R1,237,ILO,S,H,,,,,,,,,6
F2_19R07SIL_R1,238,MAT,S,H,,,,,,,,,9
F2_19R07SIL_R1,239,KIN,S,H,,,,,,,,,12
F2_19R07SIL_R1,240,SCH,S,H,,,,,,,,,13
F2_19R07SIL_R1,241,MAI,S,H,,,,,,,,,14
F2_19R07SIL_R1,242,COR,S,H,,,,,,,,,11
F2_19R07SIL_R1,243,CAL,H,S,,,,,,,,,18
F2_19R07SIL_R1,244,RAG,S,H,,,,,,,,,19
F2_19R07SIL_R1,245,MAZ,H,S,,,,,,,,,16
F2_19R07SIL_R1,246,ALE,S,H,,,,,,,,,15
F2_19R07SIL_R1,247,HUB,S,H,,,,,,,,,10
F2_19R07SIL_R2,248,AIT,H,,,,,,,,,,4
F2_19R07SIL_R2,249,DEL,H,,,,,,,,,,2
F2_19R07SIL_R2,250,DEV,H,,,,,,,,,,3
F2_19R07SIL_R2,251,ILO,H,,,,,,,,,,1
F2_19R07SIL_R2,252,LAT,H,,,,,,,,,,7
F2_19R07SIL_R2,253,SCH,H,,,,,,,,,,11
F2_19R07SIL_R2,254,MAT,H,,,,,,,,,,9
F2_19R07SIL_R2,255,ZHO,H,,,,,,,,,,6
F2_19R07SIL_R2,256,KIN,H,,,,,,,,,,10
F2_19R07SIL_R2,257,COR,H,,,,,,,,,,12
F2_19R07SIL_R2,258,HUB,H,,,,,,,,,,18
F2_19R07SIL_R2,259,MAZ,H,,,,,,,,,,16
F2_19R07SIL_R2,260,MAI,H,H,,,,,,,,,13
F2_19R07SIL_R2,261,BOC,H,,,,,,,,,,19
F2_19R07SIL_R2,262,GHI,H,S,,,,,,,,,8
F2_19R07SIL_R2,263,CAL,H,,,,,,,,,,14
F2_19R07SIL_R2,264,SET,H,H,,,,,,,,,5
F2_19R07SIL_R2,265,RAG,H,,,,,,,,,,15
F2_19R08BUD_R1,266,LAT,S,M,,,,,,,,,3
F2_19R08BUD_R1,267,DEV,S,M,,,,,,,,,1
F2_19R08BUD_R1,268,AIT,S,M,,,,,,,,,7
F2_19R08BUD_R1,269,GHI,S,M,,,,,,,,,2
F2_19R08BUD_R1,270,SET,S,M,,,,,,,,,12
F2_19R08BUD_R1,271,KIN,M,S,,,,,,,,,10
F2_19R08BUD_R1,272,MAT,S,M,,,,,,,,,8
F2_19R08BUD_R1,273,SCH,S,M,,,,,,,,,4
F2_19R08BUD_R1,274,ZHO,S,M,,,,,,,,,9
F2_19R08BUD_R1,275,ILO,S,M,,,,,,,,,6
F2_19R08BUD_R1,276,HUB,M,S,,,,,,,,,18
F2_19R08BUD_R1,277,MAZ,S,M,,,,,,,,,19
F2_19R08BUD_R1,278,ALE,S,M,,,,,,,,,13
F2_19R08BUD_R1,279,GEL,M,S,,,,,,,,,17
F2_19R08BUD_R1,280,COR,M,S,,,,,,,,,11
F2_19R08BUD_R1,281,CAL,S,M,,,,,,,,,20
F2_19R08BUD_R1,282,RAG,S,M,,,,,,,,,16
F2_19R08BUD_R1,283,BOS,M,S,,,,,,,,,15
F2_19R08BUD_R1,284,MAI,S,M,,,,,,,,,14
F2_19R08BUD_R1,285,DEL,S,,,,,,,,,,5
F2_19R08BUD_R2,286,SCH,M,,,,,,,,,,1
F2_19R08BUD_R2,287,MAT,M,,,,,,,,,,2
F2_19R08BUD_R2,288,SET,M,,,,,,,,,,4
F2_19R08BUD_R2,289,KIN,M,,,,,,,,,,3
F2_19R08BUD_R2,290,AIT,M,,,,,,,,,,6
F2_19R08BUD_R2,291,DEV,M,,,,,,,,,,7
F2_19R08BUD_R2,292,LAT,M,,,,,,,,,,8
F2_19R08BUD_R2,293,GHI,M,,,,,,,,,,5
F2_19R08BUD_R2,294,ZHO,M,,,,,,,,,,9
F2_19R08BUD_R2,295,ILO,M,,,,,,,,,,10
F2_19R08BUD_R2,296,HUB,M,,,,,,,,,,11
F2_19R08BUD_R2,297,ALE,M,,,,,,,,,,13
F2_19R08BUD_R2,298,DEL,M,,,,,,,,,,20
F2_19R08BUD_R2,299,COR,M,,,,,,,,,,14
F2_19R08BUD_R2,300,MAZ,M,,,,,,,,,,12
F2_19R08BUD_R2,301,MAI,M,,,,,,,,,,19
F2_19R08BUD_R2,302,GEL,M,,,,,,,,,,15
F2_19R08BUD_R2,303,BOS,M,,,,,,,,,,18
F2_19R08BUD_R2,304,RAG,M,,,,,,,,,,17
F2_19R08BUD_R2,305,CAL,M,,,,,,,,,,16
F2_19R10MON_R1,306,MAT,S,M,,,,,,,,,5
F2_19R10MON_R1,307,GHI,M,S,,,,,,,,,13
F2_19R10MON_R1,308,DEV,S,M,,,,,,,,,17
F2_19R10MON_R1,309,SET,S,M,,,,,,,,,4
F2_19R10MON_R1,310,ILO,S,M,,,,,,,,,1
F2_19R10MON_R1,311,KIN,M,S,,,,,,,,,7
F2_19R10MON_R1,312,ALE,M,S,,,,,,,,,11
F2_19R10MON_R1,313,AIT,M,S,,,,,,,,,12
F2_19R10MON_R1,314,GEL,S,M,,,,,,,,,10
F2_19R10MON_R1,315,RAG,S,M,,,,,,,,,15
F2_19R10MON_R1,316,MAZ,S,M,,,,,,,,,3
F2_19R10MON_R1,317,SAT,S,M,,,,,,,,,14
F2_19R10MON_R1,318,LAT,S,M,S,,,,,,,,6
F2_19R10MON_R1,319,ZHO,S,M,,,,,,,,,2
F2_19R10MON_R1,320,SCH,M,S,,,,,,,,,8
F2_19R10MON_R1,321,CAL,M,,,,,,,,,,16
F2_19R10MON_R1,322,DEL,S,,,,,,,,,,9
F2_19R10MON_R2,323,AIT,M,,,,,,,,,,1
F2_19R10MON_R2,324,KIN,M,,,,,,,,,,3
F2_19R10MON_R2,325,MAT,M,,,,,,,,,,8
F2_19R10MON_R2,326,DEV,M,,,,,,,,,,6
F2_19R10MON_R2,327,ZHO,M,,,,,,,,,,17
F2_19R10MON_R2,328,SCH,M,,,,,,,,,,14
F2_19R10MON_R2,329,ALE,M,,,,,,,,,,2
F2_19R10MON_R2,330,DEL,M,,,,,,,,,,16
F2_19R10MON_R2,331,MAZ,M,,,,,,,,,,11
F2_19R10MON_R2,332,LAT,M,,,,,,,,,,13
F2_19R10MON_R2,333,SAT,M,,,,,,,,,,12
F2_19R10MON_R2,334,ILO,M,,,,,,,,,,5
F2_19R10MON_R2,335,RAG,M,,,,,,,,,,10
F2_19R10MON_R2,336,CAL,M,,,,,,,,,,15
F2_19R10MON_R2,337,GHI,M,S,,,,,,,,,7
F2_19R10MON_R2,338,GEL,M,,,,,,,,,,9
F2_19R10MON_R2,339,SET,M,,,,,,,,,,4
F2_19R11SOC_R1,340,DEV,SS,M,,,,,,,,,1
F2_19R11SOC_R1,341,LAT,SS,M,,,,,,,,,2
F2_19R11SOC_R1,342,DEL,SS,M,,,,,,,,,7
F2_19R11SOC_R1,343,GHI,M,SS,,,,,,,,,4
F2_19R11SOC_R1,344,SET,SS,M,,,,,,,,,6
F2_19R11SOC_R1,345,MAT,M,SS,,,,,,,,,10
F2_19R11SOC_R1,346,MAZ,M,SS,,,,,,,,,8
F2_19R11SOC_R1,347,AIT,SS,M,,,,,,,,,12
F2_19R11SOC_R1,348,ILO,SS,M,,,,,,,,,3
F2_19R11SOC_R1,349,ZHO,SS,M,,,,,,,,,5
F2_19R11SOC_R1,350,KIN,M,SS,,,,,,,,,9
F2_19R11SOC_R1,351,GEL,SS,M,,,,,,,,,13
F2_19R11SOC_R1,352,ALE,M,SS,,,,,,,,,14
F2_19R11SOC_R1,353,BOS,M,SS,,,,,,,,,15
F2_19R11SOC_R1,354,CAL,SS,M,,,,,,,,,18
F2_19R11SOC_R1,355,SAT,M,SS,,,,,,,,,19
F2_19R11SOC_R1,356,RAG,SS,M,,,,,,,,,20
F2_19R11SOC_R1,357,ISA,SS,M,SS,,,,,,,,17
F2_19R11SOC_R1,358,SCH,M,,,,,,,,,,11
F2_19R11SOC_R2,359,GHI,M,,,,,,,,,,5
F2_19R11SOC_R2,360,DEV,M,,,,,,,,,,8
F2_19R11SOC_R2,361,ILO,M,,,,,,,,,,9
F2_19R11SOC_R2,362,SET,M,,,,,,,,,,4
F2_19R11SOC_R2,363,LAT,M,,,,,,,,,,7
F2_19R11SOC_R2,364,ZHO,M,,,,,,,,,,10
F2_19R11SOC_R2,365,GEL,M,,,,,,,,,,11
F2_19R11SOC_R2,366,ALE,M,,,,,,,,,,13
F2_19R11SOC_R2,367,KIN,M,,,,,,,,,,12
F2_19R11SOC_R2,368,MAR,M,,,,,,,,,,20
F2_19R11SOC_R2,369,BOS,M,,,,,,,,,,14
F2_19R11SOC_R2,370,DEL,M,,,,,,,,,,6
F2_19R11SOC_R2,371,AIT,M,,,,,,,,,,2
F2_19R11SOC_R2,372,ISA,M,,,,,,,,,,18
F2_19R11SOC_R2,373,SAT,M,,,,,,,,,,16
F2_19R11SOC_R2,374,CAL,M,,,,,,,,,,15
F2_19R11SOC_R2,375,RAG,M,,,,,,,,,,17
F2_19R11SOC_R2,376,SCH,M,,,,,,,,,,19
F2_19R12ABU_R1,377,SET,SS,S,,,,,,,,,1
F2_19R12ABU_R1,378,MAT,S,SS,,,,,,,,,4
F2_19R12ABU_R1,379,ZHO,S,SS,,,,,,,,,5
F2_19R12ABU_R1,380,DEL,SS,S,,,,,,,,,3
F2_19R12ABU_R1,381,ILO,SS,S,,,,,,,,,2
F2_19R12ABU_R1,382,GHI,S,SS,,,,,,,,,10
F2_19R12ABU_R1,383,LAT,SS,S,,,,,,,,,7
F2_19R12ABU_R1,384,ALE,S,SS,,,,,,,,,11
F2_19R12ABU_R1,385,SCH,SS,S,,,,,,,,,9
F2_19R12ABU_R1,386,MAZ,S,SS,,,,,,,,,19
F2_19R12ABU_R1,387,AIT,SS,S,,,,,,,,,8
F2_19R12ABU_R1,388,KIN,SS,S,,,,,,,,,12
F2_19R12ABU_R1,389,ISA,SS,S,,,,,,,,,14
F2_19R12ABU_R1,390,DEV,SS,S,,,,,,,,,6
F2_19R12ABU_R1,391,LUN,S,SS,,,,,,,,,17
F2_19R12ABU_R1,392,GEL,SS,S,,,,,,,,,16
F2_19R12ABU_R1,393,CAL,SS,S,,,,,,,,,18
F2_19R12ABU_R1,394,SAT,S,SS,,,,,,,,,15
F2_19R12ABU_R1,395,MAR,SS,S,,,,,,,,,13
F2_19R12ABU_R1,396,RAG,SS,S,,,,,,,,,20
F2_19R12ABU_R2,397,GHI,S,,,,,,,,,,3
F2_19R12ABU_R2,398,LAT,S,,,,,,,,,,2
F2_19R12ABU_R2,399,SET,S,,,,,,,,,,8
F2_19R12ABU_R2,400,ILO,S,,,,,,,,,,4
F2_19R12ABU_R2,401,ALE,S,,,,,,,,,,1
F2_19R12ABU_R2,402,DEL,S,,,,,,,,,,5
F2_19R12ABU_R2,403,MAT,S,,,,,,,,,,7
F2_19R12ABU_R2,404,AIT,S,,,,,,,,,,11
F2_19R12ABU_R2,405,SCH,S,,,,,,,,,,9
F2_19R12ABU_R2,406,ZHO,S,,,,,,,,,,6
F2_19R12ABU_R2,407,KIN,S,,,,,,,,,,12
F2_19R12ABU_R2,408,LUN,S,,,,,,,,,,14
F2_19R12ABU_R2,409,DEV,S,,,,,,,,,,13
F2_19R12ABU_R2,410,CAL,S,,,,,,,,,,16
F2_19R12ABU_R2,411,RAG,S,,,,,,,,,,20
F2_19R12ABU_R2,412,SAT,S,,,,,,,,,,18
F2_19R12ABU_R2,413,MAZ,S,,,,,,,,,,10
F2_19R12ABU_R2,414,ISA,S,,,,,,,,,,15
F2_19R12ABU_R2,415,GEL,S,,,,,,,,,,17
F2_19R12ABU_R2,416,MAR,S,,,,,,,,,,19
F2_19R01BCN_R1,,BEC,H,H,H,H,H,H,H,H,H,H,7
F2_19R01BCN_R1,,FEW,H,H,H,H,H,H,H,H,H,H,8
F2_19R01BCN_R1,,LUN,H,H,H,H,H,H,H,H,H,H,2
F2_19R01BCN_R1,,LAW,H,H,H,H,H,H,H,H,H,H,19
F2_19R01BCN_R1,,LAA,H,H,H,H,H,H,H,H,H,H,6
F2_19R01BCN_R1,,VER,H,H,H,H,H,H,H,H,H,H,15
F2_19R01BCN_R1,,ZEN,H,H,H,H,H,H,H,H,H,H,14
F2_19R01BCN_R1,,SCH,H,H,H,H,H,H,H,H,H,H,17
F2_19R01BCN_R1,,HYM,H,H,H,H,H,H,H,H,H,H,25
F2_19R01BCN_R1,,VIS,H,H,H,H,H,H,H,H,H,H,16
F2_19R01BCN_R1,,HUG,H,H,H,H,H,H,H,H,H,H,29
F2_19R01BCN_R1,,AND,H,H,H,H,H,H,H,H,H,H,21
F2_19R01BCN_R1,,TSU,H,H,H,H,H,H,H,H,H,H,14
F2_19R01BCN_R1,,PET,H,H,H,H,H,H,H,H,H,H,26
F2_19R01BCN_R1,,EST,H,H,H,H,H,H,H,H,H,H,27
F2_19R01BCN_R1,,DEF,H,H,H,H,H,H,H,H,H,H,24
F2_19R01BCN_R1,,PIQ,H,H,H,H,H,H,H,H,H,H,13
F2_19R01BCN_R1,,KAR,H,H,H,H,H,H,H,H,H,H,12
F2_19R01BCN_R1,,PUL,H,H,H,H,H,H,H,H,H,H,18
F2_19R01BCN_R1,,VIP,H,H,H,H,H,H,H,H,H,H,11
F2_19R01BCN_R1,,YIF,H,H,H,H,H,H,H,H,H,H,22
F2_19R01BCN_R1,,PER,H,H,H,H,H,H,H,H,H,H,9
F2_19R01BCN_R1,,DEL,H,H,H,H,H,H,H,H,H,H,30
F2_19R01BCN_R1,,FER,H,H,H,H,H,H,H,H,H,H,15
F2_19R01BCN_R1,,ARM,H,H,H,H,H,H,H,H,H,H,3
F2_19R01BCN_R1,,DAR,H,H,H,H,H,H,H,H,H,H,4
F2_19R01BCN_R1,,SHW,H,H,H,H,H,H,H,H,H,H,1
F2_19R01BCN_R1,,NAT,H,H,H,H,H,H,H,H,H,H,28
F2_19R01BCN_R1,,DRU,H,H,H,H,H,H,H,H,H,H,20
F2_19R01BCN_R1,,SAR,H,H,H,H,H,H,H,H,H,H,5
F2_19R01BCN_R2,,BEC,H,H,H,H,H,H,H,H,H,H,5
F2_19R01BCN_R2,,FEW,H,H,H,H,H,H,H,H,H,H,4
F2_19R01BCN_R2,,LUN,H,H,H,H,H,H,H,H,H,H,7
F2_19R01BCN_R2,,LAW,H,H,H,H,H,H,H,H,H,H,29
F2_19R01BCN_R2,,LAA,H,H,H,H,H,H,H,H,H,H,9
F2_19R01BCN_R2,,VER,H,H,H,H,H,H,H,H,H,H,19
F2_19R01BCN_R2,,ZEN,H,H,H,H,H,H,H,H,H,H,14
F2_19R01BCN_R2,,SCH,H,H,H,H,H,H,H,H,H,H,27
F2_19R01BCN_R2,,HYM,H,H,H,H,H,H,H,H,H,H,21
F2_19R01BCN_R2,,VIS,H,H,H,H,H,H,H,H,H,H,13
F2_19R01BCN_R2,,HUG,H,H,H,H,H,H,H,H,H,H,17
F2_19R01BCN_R2,,AND,H,H,H,H,H,H,H,H,H,H,28
F2_19R01BCN_R2,,TSU,H,H,H,H,H,H,H,H,H,H,10
F2_19R01BCN_R2,,PET,H,H,H,H,H,H,H,H,H,H,18
F2_19R01BCN_R2,,EST,H,H,H,H,H,H,H,H,H,H,25
F2_19R01BCN_R2,,DEF,H,H,H,H,H,H,H,H,H,H,23
F2_19R01BCN_R2,,PIQ,H,H,H,H,H,H,H,H,H,H,26
F2_19R01BCN_R2,,KAR,H,H,H,H,H,H,H,H,H,H,1
F2_19R01BCN_R2,,PUL,H,H,H,H,H,H,H,H,H,H,20
F2_19R01BCN_R2,,VIP,H,H,H,H,H,H,H,H,H,H,3
F2_19R01BCN_R2,,YIF,H,H,H,H,H,H,H,H,H,H,22
F2_19R01BCN_R2,,PER,H,H,H,H,H,H,H,H,H,H,12
F2_19R01BCN_R2,,DEL,H,H,H,H,H,H,H,H,H,H,30
F2_19R01BCN_R2,,FER,H,H,H,H,H,H,H,H,H,H,16
F2_19R01BCN_R2,,ARM,H,H,H,H,H,H,H,H,H,H,6
F2_19R01BCN_R2,,DAR,H,H,H,H,H,H,H,H,H,H,2
F2_19R01BCN_R2,,SHW,H,H,H,H,H,H,H,H,H,H,8
F2_19R01BCN_R2,,NAT,H,H,H,H,H,H,H,H,H,H,24
F2_19R01BCN_R2,,DRU,H,H,H,H,H,H,H,H,H,H,11
F2_19R01BCN_R2,,SAR,H,H,H,H,H,H,H,H,H,H,15
F2_19R02CAS_R1,,BEC,M,M,M,M,M,M,M,M,M,M,22
F2_19R02CAS_R1,,FEW,M,M,M,M,M,M,M,M,M,M,14
F2_19R02CAS_R1,,LUN,M,M,M,M,M,M,M,M,M,M,12
F2_19R02CAS_R1,,LAW,M,M,M,M,M,M,M,M,M,M,15
F2_19R02CAS_R1,,LAA,M,M,M,M,M,M,M,M,M,M,20
F2_19R02CAS_R1,,VER,M,M,M,M,M,M,M,M,M,M,13
F2_19R02CAS_R1,,ZEN,M,M,M,M,M,M,M,M,M,M,17
F2_19R02CAS_R1,,SCH,M,M,M,M,M,M,M,M,M,M,23
F2_19R02CAS_R1,,HYM,M,M,M,M,M,M,M,M,M,M,24
F2_19R02CAS_R1,,VIS,M,M,M,M,M,M,M,M,M,M,8
F2_19R02CAS_R1,,HUG,M,M,M,M,M,M,M,M,M,M,1
F2_19R02CAS_R1,,AND,M,M,M,M,M,M,M,M,M,M,25
F2_19R02CAS_R1,,TSU,M,M,M,M,M,M,M,M,M,M,27
F2_19R02CAS_R1,,EST,M,M,M,M,M,M,M,M,M,M,28
F2_19R02CAS_R1,,DEF,M,M,M,M,M,M,M,M,M,M,19
F2_19R02CAS_R1,,PIQ,M,M,M,M,M,M,M,M,M,M,4
F2_19R02CAS_R1,,KAR,M,M,M,M,M,M,M,M,M,M,9
F2_19R02CAS_R1,,PUL,M,M,M,M,M,M,M,M,M,M,6
F2_19R02CAS_R1,,VIP,M,M,M,M,M,M,M,M,M,M,7
F2_19R02CAS_R1,,YIF,M,M,M,M,M,M,M,M,M,M,16
F2_19R02CAS_R1,,PER,M,M,M,M,M,M,M,M,M,M,10
F2_19R02CAS_R1,,DEL,M,M,M,M,M,M,M,M,M,M,29
F2_19R02CAS_R1,,FER,M,M,M,M,M,M,M,M,M,M,26
F2_19R02CAS_R1,,ARM,M,M,M,M,M,M,M,M,M,M,5
F2_19R02CAS_R1,,DAR,M,M,M,M,M,M,M,M,M,M,2
F2_19R02CAS_R1,,SHW,M,M,M,M,M,M,M,M,M,M,3
F2_19R02CAS_R1,,NAT,M,M,M,M,M,M,M,M,M,M,21
F2_19R02CAS_R1,,DRU,M,M,M,M,M,M,M,M,M,M,18
F2_19R02CAS_R1,,SAR,M,M,M,M,M,M,M,M,M,M,11
F2_19R02CAS_R2,,BEC,M,M,M,M,M,M,M,M,M,M,10
F2_19R02CAS_R2,,FEW,M,M,M,M,M,M,M,M,M,M,24
F2_19R02CAS_R2,,LUN,M,M,M,M,M,M,M,M,M,M,28
F2_19R02CAS_R2,,LAW,M,M,M,M,M,M,M,M,M,M,9
F2_19R02CAS_R2,,LAA,M,M,M,M,M,M,M,M,M,M,20
F2_19R02CAS_R2,,VER,M,M,M,M,M,M,M,M,M,M,14
F2_19R02CAS_R2,,ZEN,M,M,M,M,M,M,M,M,M,M,25
F2_19R02CAS_R2,,SCH,M,M,M,M,M,M,M,M,M,M,15
F2_19R02CAS_R2,,HYM,M,M,M,M,M,M,M,M,M,M,17
F2_19R02CAS_R2,,VIS,M,M,M,M,M,M,M,M,M,M,4
F2_19R02CAS_R2,,HUG,M,M,M,M,M,M,M,M,M,M,22
F2_19R02CAS_R2,,AND,M,M,M,M,M,M,M,M,M,M,29
F2_19R02CAS_R2,,TSU,M,M,M,M,M,M,M,M,M,M,2
F2_19R02CAS_R2,,EST,M,M,M,M,M,M,M,M,M,M,11
F2_19R02CAS_R2,,DEF,M,M,M,M,M,M,M,M,M,M,21
F2_19R02CAS_R2,,PIQ,M,M,M,M,M,M,M,M,M,M,6
F2_19R02CAS_R2,,KAR,M,M,M,M,M,M,M,M,M,M,18
F2_19R02CAS_R2,,PUL,M,M,M,M,M,M,M,M,M,M,27
F2_19R02CAS_R2,,VIP,M,M,M,M,M,M,M,M,M,M,5
F2_19R02CAS_R2,,YIF,M,M,M,M,M,M,M,M,M,M,13
F2_19R02CAS_R2,,PER,M,M,M,M,M,M,M,M,M,M,1
F2_19R02CAS_R2,,DEL,M,M,M,M,M,M,M,M,M,M,16
