session,AI,driver,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,startpos
F2_19R04SIL_R1,,AND,H,H,H,H,H,H,H,H,H,H,23
F2_19R04SIL_R1,,TSU,H,H,H,H,H,H,H,H,H,H,26
F2_19R04SIL_R1,,MAL,H,H,H,H,H,H,H,H,H,H,29
F2_19R04SIL_R1,,EST,H,H,H,H,H,H,H,H,H,H,27
F2_19R04SIL_R1,,DEF,H,H,H,H,H,H,H,H,H,H,22
F2_19R04SIL_R1,,PIQ,H,H,H,H,H,H,H,H,H,H,8
F2_19R04SIL_R1,,KAR,H,H,H,H,H,H,H,H,H,H,11
F2_19R04SIL_R1,,PUL,H,H,H,H,H,H,H,H,H,H,5
F2_19R04SIL_R1,,VIP,H,H,H,H,H,H,H,H,H,H,1
F2_19R04SIL_R1,,YIF,H,H,H,H,H,H,H,H,H,H,15
F2_19R04SIL_R1,,PER,H,H,H,H,H,H,H,H,H,H,21
F2_19R04SIL_R1,,DEL,H,H,H,H,H,H,H,H,H,H,30
F2_19R04SIL_R1,,FER,H,H,H,H,H,H,H,H,H,H,19
F2_19R04SIL_R1,,ARM,H,H,H,H,H,H,H,H,H,H,2
F2_19R04SIL_R1,,DAR,H,H,H,H,H,H,H,H,H,H,3
F2_19R04SIL_R1,,SHW,H,H,H,H,H,H,H,H,H,H,6
F2_19R04SIL_R1,,NAT,H,H,H,H,H,H,H,H,H,H,28
F2_19R04SIL_R1,,DRU,H,H,H,H,H,H,H,H,H,H,20
F2_19R04SIL_R1,,SAR,H,H,H,H,H,H,H,H,H,H,16
F2_19R04SIL_R2,,BEC,H,H,H,H,H,H,H,H,H,H,11
F2_19R04SIL_R2,,FEW,H,H,H,H,H,H,H,H,H,H,19
F2_19R04SIL_R2,,LUN,H,H,H,H,H,H,H,H,H,H,2
F2_19R04SIL_R2,,LAW,H,H,H,H,H,H,H,H,H,H,1
F2_19R04SIL_R2,,LAA,H,H,H,H,H,H,H,H,H,H,24
F2_19R04SIL_R2,,VER,H,H,H,H,H,H,H,H,H,H,17
F2_19R04SIL_R2,,ZEN,H,H,H,H,H,H,H,H,H,H,15
F2_19R04SIL_R2,,SCH,H,H,H,H,H,H,H,H,H,H,16
F2_19R04SIL_R2,,HYM,H,H,H,H,H,H,H,H,H,H,28
F2_19R04SIL_R2,,VIS,H,H,H,H,H,H,H,H,H,H,22
F2_19R04SIL_R2,,HUG,H,H,H,H,H,H,H,H,H,H,9
F2_19R04SIL_R2,,AND,H,H,H,H,H,H,H,H,H,H,21
F2_19R04SIL_R2,,TSU,H,H,H,H,H,H,H,H,H,H,14
F2_19R04SIL_R2,,MAL,H,H,H,H,H,H,H,H,H,H,29
F2_19R04SIL_R2,,EST,H,H,H,H,H,H,H,H,H,H,23
F2_19R04SIL_R2,,DEF,H,H,H,H,H,H,H,H,H,H,27
F2_19R04SIL_R2,,PIQ,H,H,H,H,H,H,H,H,H,H,3
F2_19R04SIL_R2,,KAR,H,H,H,H,H,H,H,H,H,H,18
F2_19R04SIL_R2,,PUL,H,H,H,H,H,H,H,H,H,H,5
F2_19R04SIL_R2,,VIP,H,H,H,H,H,H,H,H,H,H,8
F2_19R04SIL_R2,,YIF,H,H,H,H,H,H,H,H,H,H,12
F2_19R04SIL_R2,,PER,H,H,H,H,H,H,H,H,H,H,10
F2_19R04SIL_R2,,DEL,H,H,H,H,H,H,H,H,H,H,30
F2_19R04SIL_R2,,FER,H,H,H,H,H,H,H,H,H,H,20
F2_19R04SIL_R2,,ARM,H,H,H,H,H,H,H,H,H,H,6
F2_19R04SIL_R2,,DAR,H,H,H,H,H,H,H,H,H,H,7
F2_19R04SIL_R2,,SHW,H,H,H,H,H,H,H,H,H,H,4
F2_19R04SIL_R2,,NAT,H,H,H,H,H,H,H,H,H,H,25
F2_19R04SIL_R2,,DRU,H,H,H,H,H,H,H,H,H,H,13
F2_19R04SIL_R2,,SAR,H,H,H,H,H,H,H,H,H,H,26
F2_19R05BUD_R1,,BEC,M,M,M,M,M,M,M,M,M,M,8
F2_19R05BUD_R1,,FEW,M,M,M,M,M,M,M,M,M,M,3
F2_19R05BUD_R1,,LUN,M,M,M,M,M,M,M,M,M,M,1
F2_19R05BUD_R1,,LAW,M,M,M,M,M,M,M,M,M,M,20
F2_19R05BUD_R1,,LAA,M,M,M,M,M,M,M,M,M,M,23
F2_19R05BUD_R1,,VER,M,M,M,M,M,M,M,M,M,M,16
F2_19R05BUD_R1,,ZEN,M,M,M,M,M,M,M,M,M,M,24
F2_19R05BUD_R1,,SCH,M,M,M,M,M,M,M,M,M,M,22
F2_19R05BUD_R1,,HYM,M,M,M,M,M,M,M,M,M,M,15
F2_19R05BUD_R1,,VIS,M,M,M,M,M,M,M,M,M,M,26
F2_19R05BUD_R1,,HUG,M,M,M,M,M,M,M,M,M,M,7
F2_19R05BUD_R1,,AND,M,M,M,M,M,M,M,M,M,M,27
F2_19R05BUD_R1,,TSU,M,M,M,M,M,M,M,M,M,M,9
F2_19R05BUD_R1,,CAR,M,M,M,M,M,M,M,M,M,M,28
F2_19R05BUD_R1,,EST,M,M,M,M,M,M,M,M,M,M,29
F2_19R05BUD_R1,,DEF,M,M,M,M,M,M,M,M,M,M,25
F2_19R05BUD_R1,,PIQ,M,M,M,M,M,M,M,M,M,M,6
F2_19R05BUD_R1,,KAR,M,M,M,M,M,M,M,M,M,M,5
F2_19R05BUD_R1,,PUL,M,M,M,M,M,M,M,M,M,M,11
F2_19R05BUD_R1,,VIP,M,M,M,M,M,M,M,M,M,M,2
F2_19R05BUD_R1,,YIF,M,M,M,M,M,M,M,M,M,M,18
F2_19R05BUD_R1,,PER,M,M,M,M,M,M,M,M,M,M,14
F2_19R05BUD_R1,,DEL,M,M,M,M,M,M,M,M,M,M,30
F2_19R05BUD_R1,,FER,M,M,M,M,M,M,M,M,M,M,12
F2_19R05BUD_R1,,ARM,M,M,M,M,M,M,M,M,M,M,13
F2_19R05BUD_R1,,DAR,M,M,M,M,M,M,M,M,M,M,17
F2_19R05BUD_R1,,SHW,M,M,M,M,M,M,M,M,M,M,4
F2_19R05BUD_R1,,NAT,M,M,M,M,M,M,M,M,M,M,21
F2_19R05BUD_R1,,DRU,M,M,M,M,M,M,M,M,M,M,10
F2_19R05BUD_R1,,SAR,M,M,M,M,M,M,M,M,M,M,19
F2_19R05BUD_R2,,BEC,M,M,M,M,M,M,M,M,M,M,28
F2_19R05BUD_R2,,FEW,M,M,M,M,M,M,M,M,M,M,7
F2_19R05BUD_R2,,LUN,M,M,M,M,M,M,M,M,M,M,8
F2_19R05BUD_R2,,LAW,M,M,M,M,M,M,M,M,M,M,16
F2_19R05BUD_R2,,LAA,M,M,M,M,M,M,M,M,M,M,17
F2_19R05BUD_R2,,VER,M,M,M,M,M,M,M,M,M,M,27
F2_19R05BUD_R2,,ZEN,M,M,M,M,M,M,M,M,M,M,29
F2_19R05BUD_R2,,SCH,M,M,M,M,M,M,M,M,M,M,15
F2_19R05BUD_R2,,HYM,M,M,M,M,M,M,M,M,M,M,22
F2_19R05BUD_R2,,VIS,M,M,M,M,M,M,M,M,M,M,19
F2_19R05BUD_R2,,HUG,M,M,M,M,M,M,M,M,M,M,6
F2_19R05BUD_R2,,AND,M,M,M,M,M,M,M,M,M,M,23
F2_19R05BUD_R2,,TSU,M,M,M,M,M,M,M,M,M,M,9
F2_19R05BUD_R2,,CAR,M,M,M,M,M,M,M,M,M,M,25
F2_19R05BUD_R2,,EST,M,M,M,M,M,M,M,M,M,M,21
F2_19R05BUD_R2,,DEF,M,M,M,M,M,M,M,M,M,M,12
F2_19R05BUD_R2,,PIQ,M,M,M,M,M,M,M,M,M,M,30
F2_19R05BUD_R2,,KAR,M,M,M,M,M,M,M,M,M,M,14
F2_19R05BUD_R2,,PUL,M,M,M,M,M,M,M,M,M,M,2
F2_19R05BUD_R2,,VIP,M,M,M,M,M,M,M,M,M,M,5
F2_19R05BUD_R2,,YIF,M,M,M,M,M,M,M,M,M,M,18
F2_19R05BUD_R2,,PER,M,M,M,M,M,M,M,M,M,M,26
F2_19R05BUD_R2,,DEL,M,M,M,M,M,M,M,M,M,M,24
F2_19R05BUD_R2,,FER,M,M,M,M,M,M,M,M,M,M,13
F2_19R05BUD_R2,,ARM,M,M,M,M,M,M,M,M,M,M,1
F2_19R05BUD_R2,,DAR,M,M,M,M,M,M,M,M,M,M,11
F2_19R05BUD_R2,,SHW,M,M,M,M,M,M,M,M,M,M,4
F2_19R05BUD_R2,,NAT,M,M,M,M,M,M,M,M,M,M,20
F2_19R05BUD_R2,,DRU,M,M,M,M,M,M,M,M,M,M,3
F2_19R05BUD_R2,,SAR,M,M,M,M,M,M,M,M,M,M,10
F2_19R06SPA_R1,,BEC,M,M,M,M,M,M,M,M,M,M,17
F2_19R06SPA_R1,,FEW,M,M,M,M,M,M,M,M,M,M,12
F2_19R06SPA_R1,,LUN,M,M,M,M,M,M,M,M,M,M,14
F2_19R06SPA_R1,,LAW,M,M,M,M,M,M,M,M,M,M,10
F2_19R06SPA_R1,,LAA,M,M,M,M,M,M,M,M,M,M,27
